INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,Latitude,Longitude
Fatal/Injury Collision,176TH ST / FRASER HWY,1,2013,0,0
Fatal/Injury Collision,132ND ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 162A ST,1,2013,0,0
Fatal/Injury Collision,172ND ST / 2ND AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,180TH ST / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,24TH AVE / 176TH ST,1,2013,0,0
Fatal/Injury Collision,SOUTH FRASER WAY / RIVER RD,1,2013,0,0
Fatal/Injury Collision,102A AVE / 152A ST,1,2013,0,0
Fatal/Injury Collision,140TH ST / 32ND AVE,1,2013,0,0
Fatal/Injury Collision,88TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,160TH ST / 20TH AVE,1,2013,0,0
Fatal/Injury Collision,78TH AVE / 144TH ST,1,2013,0,0
Fatal/Injury Collision,SOUTH FRASER WAY / RIVER RD,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 120TH ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 76TH AVE,1,2013,0,0
Fatal/Injury Collision,REGAL DR / TOWNLINE DVRS,1,2013,0,0
Fatal/Injury Collision,REGAL DR / TOWNLINE DVRS,1,2013,0,0
Fatal/Injury Collision,148TH ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,SCOTT RD / 110TH AVE,1,2013,0,0
Fatal/Injury Collision,76TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,176TH ST / 32ND AVE,1,2013,0,0
Fatal/Injury Collision,104TH AVE / 140TH ST,1,2013,0,0
Fatal/Injury Collision,132ND ST / 84TH AVE,1,2013,0,0
Fatal/Injury Collision,24TH AVE / 154TH ST,1,2013,0,0
Fatal/Injury Collision,102ND AVE / 120TH ST,1,2013,0,0
Fatal/Injury Collision,PRINCE CHARLES BLVD / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,88TH AVE / 133A ST,1,2013,0,0
Fatal/Injury Collision,60TH AVE / 177B ST,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 130TH ST,1,2013,0,0
Fatal/Injury Collision,100A AVE / 142ND ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 160TH ST,1,2013,0,0
Fatal/Injury Collision,120TH ST / 70TH AVE,1,2013,0,0
Fatal/Injury Collision,125TH ST / 60TH AVE,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / HALL RD,1,2013,0,0
